ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,NSEGM,ID_PROD,UA,RESFIN,REGION,ESTRATO,FACTOR_PRODUCTOR,CODIGO,P101A,P142_1,P142_2,P147,P203,P204_NOM,P204_COD,P204_TIPO,P218A,P218B,P218C_NRO,P218C_PROD_CORTE_ENT,P218C_PROD_CORTE_DEC,OMICAP200_05
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10027,01,01,1,3,250391005,16.20606,1,,1,1,1,3,PASTO BRIZANTA,1408,3,2,3,2,300,000, 
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10027,01,01,1,3,250391005,16.20606,1,,1,1,1,3,PASTO BRIZANTA,1408,3,2,3,1,350,000, 
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10027,02,02,1,3,250391005,19.23699,1,,1,1,1,1,PASTO BRIZANTA,1408,3,2,3,2,150,000, 
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10027,02,02,1,3,250391005,19.23699,1,,1,1,1,1,PASTO BRIZANTA,1408,3,2,3,1,200,000, 
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10027,02,02,1,3,250391005,19.23699,1,,1,1,1,1,PASTO BRIZANTA,1408,3,2,3,3,140,000, 
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10027,02,02,1,3,250391005,19.23699,1,,1,1,2,1,PASTO BRIZANTA,1408,3,2,3,1,100,000, 
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10027,02,02,1,3,250391005,19.23699,1,,1,1,2,1,PASTO BRIZANTA,1408,3,2,3,3,80,000, 
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10027,02,02,1,3,250391005,19.23699,1,,1,1,2,1,PASTO BRIZANTA,1408,3,2,3,2,90,000, 
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10027,05,05,1,3,250391005,32.47669,1,,1,1,1,2,PASTO BRIZANTA,1408,3,2,3,1,600,000, 
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10027,05,05,1,3,250391005,32.47669,1,,1,1,1,2,PASTO BRIZANTA,1408,3,2,3,2,500,000, 
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10027,05,05,1,3,250391005,32.47669,1,,1,1,1,2,PASTO BRIZANTA,1408,3,2,3,3,400,000, 
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10027,06,06,1,3,250391005,4.393558,1,,1,1,1,2,PASTO BRIZANTA,1408,3,2,3,1,300,000, 
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10027,06,06,1,3,250391005,4.393558,1,,1,1,1,2,PASTO BRIZANTA,1408,3,2,3,3,300,000, 
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10027,06,06,1,3,250391005,4.393558,1,,1,1,1,2,PASTO BRIZANTA,1408,3,2,3,2,250,000, 
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10028,01,01,1,3,250391005,3.092032,1,,1,1,2,2,PASTO BRIZANTA,1408,3,2,3,2,60,000, 
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10028,01,01,1,3,250391005,3.092032,1,,1,1,2,2,PASTO BRIZANTA,1408,3,2,3,3,60,000, 
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10028,01,01,1,3,250391005,3.092032,1,,1,1,2,2,PASTO BRIZANTA,1408,3,2,3,1,75,000, 
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10028,12,12,1,3,250391005,2.593173,1,,1,1,4,1,PASTO BRIZANTA,1408,3,2,3,1,80,000, 
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10028,12,12,1,3,250391005,2.593173,1,,1,1,4,1,PASTO BRIZANTA,1408,3,2,3,2,65,000, 
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10028,12,12,1,3,250391005,2.593173,1,,1,1,4,1,PASTO BRIZANTA,1408,3,2,3,3,65,000, 
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10028,25,25,1,3,250391005,.1001806,1,,1,1,1,2,PASTO BRIZANTA,1408,3,2,3,2,30,000, 
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10028,25,25,1,3,250391005,.1001806,1,,1,1,1,2,PASTO BRIZANTA,1408,3,2,3,3,40,000, 
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10028,25,25,1,3,250391005,.1001806,1,,1,1,1,2,PASTO BRIZANTA,1408,3,2,3,1,30,000, 
2024,25,UCAYALI,03,PADRE ABAD,03,CURIMANA,10034,03,03,1,3,250391005,20.47266,1,,1,1,1,3,PASTO BRAQUIARIA,1407,3,2,3,2,120,000, 
