ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,NSEGM,ID_PROD,UA,RESFIN,REGION,ESTRATO,FACTOR_PRODUCTOR,CODIGO,P101A,P105,P105_SUP_1,P105_SUP_2,P105_EQUIV_1,P105_EQUIV_2,P105_SUP_ha,P108,P109_MES,P109_ANIO,P111_1,P111_2,P111_3,P111_4,P111_5,P112,P113_SUP_1,P113_SUP_2,P114,P140,P141_1,P141_2,P141_3,P141_4,P141_5,P141_6,P141_7,P141_8,P1201,OMICAP100A_03
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10016,02,02,1,3,250391005,14.50153,1,,1,45,000,45,0000,45,1,10,1994,1,0,0,1,0,1,10,000,1,3,,,,,,,,,2, 
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10016,03,03,1,3,250391005,19.81655,1,,1,32,000,32,0000,32,1,6,2005,1,0,0,0,0,3,, ,1,3,,,,,,,,,1, 
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10016,04,04,1,3,250391005,3.746287,1,,1,45,000,45,0000,45,1,2,2014,1,0,0,0,0,4,, ,1,3,,,,,,,,,2, 
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10017,01,01,1,3,250391005,2.545616,1,,1,5,000,5,0000,5,1,5,2022,1,0,0,0,0,1,5,000,1,3,,,,,,,,,1, 
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10017,02,02,1,3,250391005,14.24374,1,,3,30,000,30,0000,30,2,1,2000,1,0,0,0,0,3,, ,1,,,,,,,,,,2, 
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10017,02,02,1,3,250391005,14.24374,1,,2,0,200,0,2000,.2,2,5,2018,1,0,0,0,0,4,, ,1,,,,,,,,,,2, 
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10017,02,02,1,3,250391005,14.24374,1,,1,14,000,14,0000,14,1,3,2018,1,0,0,0,0,1,14,000,1,,,,,,,,,,2, 
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10017,03,03,1,3,250391005,.1122787,1,,2,30,000,30,0000,30,1,3,2009,1,0,0,0,0,1,30,000,1,3,,,,,,,,,1, 
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10017,03,03,1,3,250391005,.1122787,1,,1,7,000,7,0000,7,2,5,2015,1,0,0,0,0,1,7,000,1,,,,,,,,,,2, 
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10017,04,04,1,3,250391005,.2267063,1,,2,3,000,3,0000,3,2,2,2006,1,0,0,0,0,1,3,000,1,3,,,,,,,,,1, 
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10017,04,04,1,3,250391005,.2267063,1,,1,11,000,11,0000,11,1,2,2006,1,0,0,0,0,1,11,000,1,,,,,,,,,,2, 
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10017,06,06,1,3,250391005,34.49646,1,,1,27,500,27,5000,27.5,1,8,2019,1,0,0,0,0,1,27,500,1,,,,,,,,,,2, 
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10017,12,12,1,3,250391005,2.643015,1,,1,8,000,8,0000,8,1,1,2019,1,0,0,0,0,1,8,000,1,3,,,,,,,,,1, 
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10017,12,12,1,3,250391005,2.643015,1,,2,0,200,0,2000,.2,2,1,2019,1,0,0,0,0,1,0,200,2,3,,,,,,,,,2, 
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10018,01,01,1,3,250392005,6.135175,1,,1,13,200,13,2000,13.2,1,4,1996,1,0,0,0,0,1,13,200,1,3,,,,,,,,,1, 
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10018,01,01,1,3,250392005,6.135175,1,,2,2,800,2,8000,2.8,2,4,1996,1,0,0,0,0,1,2,800,1,3,,,,,,,,,2, 
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10018,02,02,1,3,250392005,7.666791,1,,1,13,200,13,2000,13.2,1,2,2015,1,0,0,0,0,1,13,200,1,,,,,,,,,,1, 
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10018,02,02,1,3,250392005,7.666791,1,,2,2,800,2,8000,2.8,2,2,2015,1,0,0,0,0,1,2,800,1,3,,,,,,,,,2, 
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10018,04,04,1,3,250392005,7.202774,1,,2,6,500,6,5000,6.5,1,3,2008,1,0,0,0,0,1,6,500,1,,,,,,,,,,2, 
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10018,04,04,1,3,250392005,7.202774,1,,4,20,000,20,0000,20,2,3,2007,1,0,0,0,0,1,20,000,1,3,,,,,,,,,2, 
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10018,04,04,1,3,250392005,7.202774,1,,1,49,500,49,5000,49.5,2,3,2008,1,0,0,0,0,1,49,500,2,,,,,,,,,,1, 
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10018,04,04,1,3,250392005,7.202774,1,,3,15,000,15,0000,15,2,6,2006,1,0,0,0,0,1,15,000,1,,,,,,,,,,2, 
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10018,05,05,1,3,250392005,32.42104,1,,1,47,800,47,8000,47.8,1,3,2008,1,0,0,0,0,1,47,800,1,3,,,,,,,,,2, 
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10018,05,05,1,3,250392005,32.42104,1,,3,30,200,30,2000,30.2,2,8,2015,1,0,0,0,0,1,30,200,1,3,,,,,,,,,1, 
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10018,05,05,1,3,250392005,32.42104,1,,2,6,000,6,0000,6,2,7,2013,1,0,0,0,0,1,6,000,1,,,,,,,,,,2, 
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10018,06,06,1,3,250392005,20.98761,1,,1,26,000,26,0000,26,1,2,2020,1,0,0,0,0,1,26,000,1,,,,,,,,,,1, 
