ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,NSEGM,ID_PROD,UA,RESFIN,REGION,ESTRATO,FACTOR_PRODUCTOR,CODIGO,P101A,P142_1,P142_2,P142_3,P1207_N,P1207_NOM,P1207_COD,P1207_TIPO,P1208,OMICAP1200B_ME
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10027,01,01,1,3,250391005,16.20606,1,,1,1,0,2,MOTOSIERRA,2059,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10027,01,01,1,3,250391005,16.20606,1,,1,1,0,1,MOTOGUADAÑA,2057,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10027,02,02,1,3,250391005,19.23699,1,,1,1,0,1,MOTOSIERRA,2059,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10027,02,02,1,3,250391005,19.23699,1,,1,1,0,2,MOTOGUADAÑA,2057,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10027,03,03,1,3,250391005,2.536874,1,,1,1,0,1,MOTOGUADAÑA,2057,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10027,05,05,1,3,250391005,32.47669,1,,1,1,0,3,MOCHILA FUMIGADORA,2050,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10027,05,05,1,3,250391005,32.47669,1,,1,1,0,2,MOTOSIERRA,2059,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10027,05,05,1,3,250391005,32.47669,1,,1,1,0,1,MOTOGUADAÑA,2057,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10027,06,06,1,3,250391005,4.393558,1,,1,1,0,2,MOTOSIERRA,2059,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10027,06,06,1,3,250391005,4.393558,1,,1,1,0,1,MOTOGUADAÑA,2057,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10028,01,01,1,3,250391005,3.092032,1,,1,1,0,1,MOTOGUADAÑA,2057,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10028,02,02,1,3,250391005,1.683774,1,,1,1,0,2,MOTOGUADAÑA,2057,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10028,02,02,1,3,250391005,1.683774,1,,1,1,0,1,MOCHILA FUMIGADORA,2050,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10028,06,06,1,3,250391005,.7941986,1,,1,0,0,1,MOTOGUADAÑA,2057,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10028,07,07,1,3,250391005,6.066584,1,,1,0,0,2,MOTOFUMIGADORA,2056,2,1,
