variable,description,type,length,decimal,page
P213,¿QUÉ SISTEMA DE RIEGO UTILIZÓ?,N,1,,20
P214,PARA LA SIEMBRA DE ………. UTILIZÓ SEMILLA:,N,1,,20
P215,"¿COSECHÓ TODA LA SUPERFICIE DE ………, QUÉ SEMBRÓ?",N,1,,20
P217_SUP_1,¿CUÁL FUE LA SUPERFICIE COSECHADA DE ……….? ENTERO,N,6,,20
P217_SUP_2,¿CUÁL FUE LA SUPERFICIE COSECHADA DE ……….? DECIMAL,AN,3,,20
P217_SUP_ha,¿CUÁL FUE LA SUPERFICIE COSECHADA DE ……….? (Hectáreas),N,11,3,20
P218,¿CUÁNTAS PLANTAS DE ……………. COSECHÓ?,N,8,,21
P218A,PRINCIPALMENTE LA COSECHA DE LOS PASTOS FUE:,N,1,,21
P218B,"EN LOS ÚLTIMOS 12 MESES, DE …… A ………………………. ¿CUÁNTOS CORTES/PASTOREOS REALIZÓ?",N,2,,21
P219_CANT_1,"¿CUÁL FUE/SERÁ LA PRODUCCIÓN TOTAL DE …, QUE COSECHÓ/COSECHARÁ DE……A………? CANTIDAD ENTERO",N,8,,21
P219_CANT_2,"¿CUÁL FUE/SERÁ LA PRODUCCIÓN TOTAL DE …, QUE COSECHÓ/COSECHARÁ DE……A………? CANTIDAD DECIMAL",AN,3,,21
P219_UM,"¿CUÁL FUE/SERÁ LA PRODUCCIÓN TOTAL DE …, QUE COSECHÓ/COSECHARÁ DE……A………? UNIDAD DE MEDIDA",A,50,,21
P219_UM_COD,"¿CUÁL FUE/SERÁ LA PRODUCCIÓN TOTAL DE …, QUE COSECHÓ/COSECHARÁ DE……A………? CÓDIGO DE UNIDAD DE MEDIDA",AN,2,,21
P219_EQUIV_KG,"¿CUÁL FUE/SERÁ LA PRODUCCIÓN TOTAL DE …, QUE COSECHÓ/COSECHARÁ DE……A………? ¿CUÁNTO PESA UN/A ....EN KILOGRAMOS?",N,12,4,21
P220_1_CANT_1,"DE LA PRODUCCIÓN DE ……….., ¿CUÁNTO SE DESTINÓ PARA: VENTA? CANTIDAD ENTERO",N,8,,21
P220_1_CANT_2,"DE LA PRODUCCIÓN DE ……….., ¿CUÁNTO SE DESTINÓ PARA: VENTA? CANTIDAD DECIMAL",AN,3,,21
