variable,description,type,length,decimal,page
P412B_UM,¿CUÁNTA FUE LA PRODUCCIÓN TOTAL DE: NOMBRE UNIDAD DE MEDIDA,A,50,,51
P412B_UMCOD,¿CUÁNTA FUE LA PRODUCCIÓN TOTAL DE: CÓDIGO UNIDAD DE MEDIDA,AN,2,,51
P412B_EQUI_KG,¿CUÁNTA FUE LA PRODUCCIÓN TOTAL DE: ¿CUÁNTO PESA UN/A ....EN KILOGRAMOS?,N,12,4,51
P413B_CANT_1,"DE LA PRODUCCIÓN DE …………, ¿CUÁNTO SE DESTINÓ A VENTA? CANTIDAD ENTERO",N,8,,52
P413B_CANT_2,"DE LA PRODUCCIÓN DE …………, ¿CUÁNTO SE DESTINÓ A VENTA? CANTIDAD DECIMAL",AN,2,,52
P413B_PREUNT_1,"DE LA PRODUCCIÓN DE …………, ¿CUÁNTO SE DESTINÓ A VENTA? PRECIO UNITARIO ENTERO",N,5,,52
P413B_PREUNT_2,"DE LA PRODUCCIÓN DE …………, ¿CUÁNTO SE DESTINÓ A VENTA? PRECIO UNITARIO DECIMAL",AN,2,,52
P413B_VAL,"DE LA PRODUCCIÓN DE …………, ¿CUÁNTO SE DESTINÓ A VENTA? VALOR S/ (ENTEROS)",N,9,,52
P413B_PRE_KG,"DE LA PRODUCCIÓN DE ……….., ¿CUÁNTO SE DESTINÓ A VENTA? PRECIO POR KILOGRAMO",N,8,4,52
P414B_ENT,"DE LA PRODUCCIÓN DE …………, ¿CUÁNTO SE DESTINÓ AL CONSUMO DEL HOGAR? CANTIDAD ENTERO",N,8,,52
P414B_DEC,"DE LA PRODUCCIÓN DE …………, ¿CUÁNTO SE DESTINÓ AL CONSUMO DEL HOGAR? CANTIDAD DECIMAL",AN,2,,52
P414B_PREUNT_1,"DE LA PRODUCCIÓN DE …………, ¿CUÁNTO SE DESTINÓ A CONSUMO DEL HOGAR? PRECIO UNITARIO ENTERO",N,8,,52
P414B_PREUNT_2,"DE LA PRODUCCIÓN DE …………, ¿CUÁNTO SE DESTINÓ A CONSUMO DEL HOGAR? PRECIO UNITARIO DECIMAL",AN,2,,52
P414B_VAL,"DE LA PRODUCCIÓN DE …………, ¿CUÁNTO SE DESTINÓ A CONSUMO DEL HOGAR? VALOR S/ (ENTEROS)",N,9,,52
P414B_PRE_KG,"DE LA PRODUCCIÓN DE ……….., ¿CUÁNTO SE DESTINÓ A CONSUMO DEL HOGAR? PRECIO POR KILOGRAMO",N,9,4,52
P415B_ENT,"DE LA PRODUCCIÓN DE …………, ¿CUÁNTO SE DESTINÓ A ELABORACIÓN DE DERIVADOS? CANTIDAD ENTERO",N,8,,52
P415B_DEC,"DE LA PRODUCCIÓN DE …………, ¿CUÁNTO SE DESTINÓ A ELABORACIÓN DE DERIVADOS? CANTIDAD DECIMAL",AN,2,,52
P415B_PREUNT_1,"DE LA PRODUCCIÓN DE …………, ¿CUÁNTO SE DESTINÓ A ELABORACIÓN DE DERIVADOS? PRECIO UNITARIO ENTERO",N,5,,52
P415B_PREUNT_2,"DE LA PRODUCCIÓN DE …………, ¿CUÁNTO SE DESTINÓ A ELABORACIÓN DE DERIVADOS? PRECIO UNITARIO DECIMAL",AN,2,,52
P415B_VAL,"DE LA PRODUCCIÓN DE …………, ¿CUÁNTO SE DESTINÓ A ELABORACION DE DERIVADOS? VALOR S/ (ENTEROS)",N,9,,52
P415B_PRE_KG,"DE LA PRODUCCIÓN DE ……….., ¿CUÁNTO SE DESTINÓ A ELABORACIÓN DE DERIVADOS? PRECIO POR KILOGRAMO",N,9,4,52
P416B_ENT,"DE LA PRODUCCIÓN DE …………, ¿CUÁNTO SE DESTINÓ A OTROS (Donaciones, robo, etc.)? CANTIDAD ENTERO",N,8,,52
P416B_DEC,"DE LA PRODUCCIÓN DE …………, ¿CUÁNTO SE DESTINÓ A OTROS (Donaciones, robo, etc.)? CANTIDAD DECIMAL",AN,2,,52
P417B,"¿CUÁNTAS ............, DIERON ESTA PRODUCCIÓN DE: CANTIDAD",N,8,,52
OMICAP400_03,OMISIÓN DE SUBPRODUCTOS PECUARIOS,AN,2,,52
P419_N,NÚMERO DE DERIVADOS PECUARIOS,N,2,,53
P419_NOM,¿QUÉ DERIVADOS PECUARIOS ELABORÓ? NOMBRE DE DERIVADO,A,50,,53
P419_COD,¿QUÉ DERIVADOS ELABORÓ? CÓDIGO DE DERIVADO,N,4,,53
P420_CANT_ENT,¿CUÁNTA FUE LA PRODUCCIÓN TOTAL DE… ? CANTIDAD ENTERO,N,8,,53
P420_CANT_DEC,¿CUÁNTA FUE LA PRODUCCIÓN TOTAL DE… ? CANTIDAD DECIMAL,AN,2,,53
P420_UM,¿CUÁNTA FUE LA PRODUCCIÓN TOTAL DE… ? UNIDAD DE MEDIDA,A,50,,53
P420_UM_COD,¿CUÁNTA FUE LA PRODUCCIÓN TOTAL DE… ? CÓDIGO DE UNIDAD DE MEDIDA,AN,2,,53
P420_EQUIV,¿CUÁNTA FUE LA PRODUCCIÓN TOTAL DE… ? ¿CUÁNTO PESA UN/A ....EN KILOGRAMOS?,N,12,4,53
P421_1_CANT_ENT,"DE LA PRODUCCIÓN DE…………, ¿CUÁNTO SE DESTINÓ PARA: VENTA? CANTIDAD ENTERO",N,8,,53
P421_1_CANT_DEC,"DE LA PRODUCCIÓN DE…………, ¿CUÁNTO SE DESTINÓ PARA: VENTA? CANTIDAD DECIMAL",AN,2,,53
P421_1_PREC_ENT,"DE LA PRODUCCIÓN DE…………, ¿CUÁNTO SE DESTINÓ PARA: VENTA? PRECIO UNITARIO ENTERO",N,5,,53
P421_1_PREC_DEC,"DE LA PRODUCCIÓN DE…………, ¿CUÁNTO SE DESTINÓ PARA: VENTA? PRECIO UNITARIO DECIMAL",AN,2,,54
P421_1_VAL,"DE LA PRODUCCIÓN DE…………, ¿CUÁNTO SE DESTINÓ PARA: VENTA? VALOR S/ (Enteros)",N,9,,54
P421_1_PRE_KG,"DE LA PRODUCCIÓN DE ……….., ¿CUÁNTO SE DESTINÓ PARA: VENTA? PRECIO DE VENTA POR KILOGRAMO",N,9,4,54
P421_2_CANT_ENT,"DE LA PRODUCCIÓN DE…………, ¿CUÁNTO SE DESTINÓ PARA: CONSUMO DEL HOGAR? CANTIDAD ENTERO",N,8,,54
P421_2_CANT_DEC,"DE LA PRODUCCIÓN DE…………, ¿CUÁNTO SE DESTINÓ PARA: CONSUMO DEL HOGAR? CANTIDAD DECIMAL",AN,2,,54
P421_3_CANT_ENT,"DE LA PRODUCCIÓN DE…………, ¿CUÁNTO SE DESTINÓ PARA: OTROS (Donaciones, robo, etc.)? CANTIDAD ENTERO",N,8,,54
P421_3_CANT_DEC,"DE LA PRODUCCIÓN DE…………, ¿CUÁNTO SE DESTINÓ PARA: OTROS (Donaciones, robo, etc.)? CANTIDAD DECIMAL",AN,2,,54
OMICAP400_04,OMISIÓN DE DERIVADOS PECUARIOS,AN,2,,54
P501A_1,COMO PRODUCTOR/A INDEPENDIENTE ¿UD. REALIZA LA PRÁCTICA PECUARIA DE: Limpiar y desinfectar periódicamente las instalaciones pecuarias?,N,1,,55
P501AA_1,¿HACE CUÁNTOS AÑOS LA REALIZA? Limpiar y desinfectar periódicamente las instalaciones pecuarias?,N,2,,55
P501A_2,"COMO PRODUCTOR/A INDEPENDIENTE ¿ UD. REALIZA LA PRÁCTICA PECUARIA DE: Tener un área de desinfección previa al ingreso de las instalaciones pecuarias (pozas, tablas de cal, etc.)?",N,1,,55
P501AA_2,"¿HACE CUÁNTOS AÑOS LA REALIZA? Tener un área de desinfección previa al ingreso de las instalaciones pecuarias (pozas, tablas de cal, etc.)?",N,2,,55
P501A_3,COMO PRODUCTOR/A INDEPENDIENTE ¿UD. REALIZA LA PRÁCTICA PECUARIA DE: Aislar temporalmente a los animales recién adquiridos para verificar que se encuentren sanos?,N,1,,55
P501AA_3,¿HACE CUÁNTOS AÑOS LA REALIZA? Aislar temporalmente a los animales recién adquiridos para verificar que se encuentren sanos?,N,2,,55
P501A_4,COMO PRODUCTOR/A INDEPENDIENTE ¿UD. REALIZA LA PRÁCTICA PECUARIA DE: Aislar a un animal enfermo de los demás?,N,1,,56
P501AA_4,¿HACE CUÁNTOS AÑOS LA REALIZA? Aislar a un animal enfermo de los demás?,N,2,,56
P501A_5,"COMO PRODUCTOR/A INDEPENDIENTE ¿UD. REALIZA LA PRÁCTICA PECUARIA DE: Solicitar el registro de vacunas de los animales comprados, regalados, intercambiados?",N,1,,56
P501AA_5,"¿HACE CUÁNTOS AÑOS LA REALIZA? Solicitar el registro de vacunas de los animales comprados, regalados, intercambiados?",N,2,,56
P501A_6,COMO PRODUCTOR/A INDEPENDIENTE ¿UD. REALIZA LA PRÁCTICA PECUARIA DE: Aplicar medicamentos veterinarios?,N,1,,56
P501AA_6,¿HACE CUÁNTOS AÑOS LA REALIZA? Aplicar medicamentos veterinarios?,N,2,,56
P501A_7,COMO PRODUCTOR/A INDEPENDIENTE ¿UD. REALIZA LA PRÁCTICA PECUARIA DE: Aplicar vacunas?,N,1,,56
P501AA_7,¿HACE CUÁNTOS AÑOS LA REALIZA? Aplicar vacunas?,N,2,,56
P501A_8,COMO PRODUCTOR/A INDEPENDIENTE ¿UD. REALIZA LA PRÁCTICA PECUARIA DE: Usar y disponer adecuadamente los excrementos animales?,N,1,,56
P501AA_8,¿HACE CUÁNTOS AÑOS LA REALIZA? Usar y disponer adecuadamente los excrementos animales?,N,2,,56
P501A_9,COMO PRODUCTOR/A INDEPENDIENTE ¿UD. REALIZA LA PRÁCTICA PECUARIA DE: Utilizar el certificado sanitario de tránsito interno cada vez que el animal vivo sea transportado a lugares distantes?,A,1,,56
P501AA_9,¿HACE CUÁNTOS AÑOS LA REALIZA? Utilizar el certificado sanitario de tránsito interno cada vez que el animal vivo sea transportado a lugares distantes?,N,2,,56
P501A_10,"COMO PRODUCTOR/A INDEPENDIENTE ¿LA EMPRESA/UD. REALIZA LA PRÁCTICA PECUARIA DE: Identificar su ganado con marcas como: aretes, hierro candente, tatuajes, etc.?",N,1,,56
P501AA_10,"¿HACE CUÁNTOS AÑOS LA REALIZA? Identificar su ganado con marcas como: aretes, hierro candente, tatuajes, etc.?",N,2,,56
P501A_11,COMO PRODUCTOR/A INDEPENDIENTE ¿UD. REALIZA LA PRÁCTICA PECUARIA DE: Brindar alimentación y agua a los animales de acuerdo a su edad y/o estado (productivo y/o reproductivo)?,N,1,,56
P501AA_11,¿HACE CUÁNTOS AÑOS LA REALIZA? Brindar alimentación y agua a los animales de acuerdo a su edad y/o estado (productivo y/o reproductivo)?,N,2,,56
P501A_12,COMO PRODUCTOR/A INDEPENDIENTE ¿UD. REALIZA LA PRÁCTICA PECUARIA DE: Realizar análisis de la calidad del agua y/o alimento proporcionado a los animales?,N,1,,56
P501AA_12,¿HACE CUÁNTOS AÑOS LA REALIZA? Realizar análisis de la calidad del agua y/o alimento proporcionado a los animales?,N,2,,56
P501A_13,COMO PRODUCTOR/A INDEPENDIENTE ¿UD. REALIZA LA PRÁCTICA PECUARIA DE: Manejar adecuadamente los pastos permanentes y/o naturales como alimento de los animales?,N,1,,56
P501AA_13,¿HACE CUÁNTOS AÑOS LA REALIZA? Manejar adecuadamente los pastos permanentes y/o naturales como alimento de los animales?,N,2,,57
P501A_14,"COMO PRODUCTOR/A INDEPENDIENTE ¿UD. REALIZA LA PRÁCTICA PECUARIA DE: Usar suplementos alimenticios (sales minerales, aditivos para el alimento, vitaminas, etc.)?",N,1,,57
P501AA_14,"¿HACE CUÁNTOS AÑOS LA REALIZA? Usar suplementos alimenticios (sales minerales, aditivos para el alimento, vitaminas, etc.)?",N,2,,57
P501A_15,COMO PRODUCTOR/A INDEPENDIENTE ¿UD. REALIZA LA PRÁCTICA PECUARIA DE: Almacenar forraje (heno y/o ensilaje)?,N,1,,57
P501AA_15,¿HACE CUÁNTOS AÑOS LA REALIZA? Almacenar forraje (heno y/o ensilaje)?,N,2,,57
P501A_15A,COMO PRODUCTOR/A INDEPENDIENTE ¿UD. REALIZA LA PRÁCTICA PECUARIA DE: Usar alimento balanceado?,N,1,,57
P501AA_15A,¿HACE CUÁNTOS AÑOS LA REALIZA? Usar alimento balanceado?,N,2,,57
P501A_16A,COMO PRODUCTOR/A INDEPENDIENTE ¿UD. REALIZA LA PRÁCTICA PECUARIA DE: Aplicar registros de producción y reproducción en la unidad productiva?,N,1,,57
P501AA_16A,¿HACE CUÁNTOS AÑOS LA REALIZA? Aplicar registros de producción y reproducción en la unidad productiva?,N,2,,57
P501A_16B,"COMO PRODUCTOR/A INDEPENDIENTE ¿UD. REALIZA LA PRÁCTICA PECUARIA DE: Usar información de índices productivos y/o reproductivos al momento de elegir el material genético (semen, embriones, reproductores) que introduce en la unidad productiva?",N,1,,57
P501AA_16B,"¿HACE CUÁNTOS AÑOS LA REALIZA? Usar información de índices productivos y/o reproductivos al momento de elegir el material genético (semen, embriones, reproductores) que introduce en la unidad productiva?",N,2,,57
P501A_16C,COMO PRODUCTOR/A INDEPENDIENTE ¿UD. REALIZA LA PRÁCTICA PECUARIA DE: Aplicar la técnica de mejoramiento genético de inseminación artificial?,N,1,,57
P501AA_16C,¿HACE CUÁNTOS AÑOS LA REALIZA? Aplicar la técnica de mejoramiento genético de inseminación artificial?,N,2,,57
P501A_16D,COMO PRODUCTOR/A INDEPENDIENTE ¿UD. REALIZA LA PRÁCTICA PECUARIA DE: Aplicar la técnica de mejoramiento genético de introducción de reproductores mejorados?,N,1,,57
P501AA_16D,¿HACE CUÁNTOS AÑOS LA REALIZA? Aplicar la técnica de mejoramiento genético de introducción de reproductores mejorados?,N,2,,57
P501A_16E,COMO PRODUCTOR/A INDEPENDIENTE ¿UD. REALIZA LA PRÁCTICA PECUARIA DE: Aplicar la técnica de mejoramiento genético de transferencia de embriones?,N,1,,57
P501AA_16E,¿HACE CUÁNTOS AÑOS LA REALIZA? Aplicar la técnica de mejoramiento genético de transferencia de embriones?,N,2,,57
P501A_16F,COMO PRODUCTOR/A INDEPENDIENTE ¿UD. REALIZA LA PRÁCTICA PECUARIA DE: Aplicar buenas prácticas de ordeño?,N,1,,57
P501AA_16F,¿HACE CUÁNTOS AÑOS LA REALIZA? Aplicar buenas prácticas de ordeño?,N,2,,57
P501A_16G,COMO PRODUCTOR/A INDEPENDIENTE ¿UD. REALIZA LA PRÁCTICA PECUARIA DE: Aplicar buenas prácticas de esquila?,N,1,,58
P501AA_16G,¿HACE CUÁNTOS AÑOS LA REALIZA? Aplicar buenas prácticas de esquila?,N,2,,58
P501A_17,COMO PRODUCTOR/A INDEPENDIENTE ¿UD. REALIZA LA PRÁCTICA PECUARIA DE: Rotación de canchas de pastoreo o praderas con la finalidad de recuperar el pasto desgastado por el ganado?,N,1,,58
P501AA_17,¿HACE CUÁNTOS AÑOS LA REALIZA? Rotación de canchas de pastoreo o praderas con la finalidad de recuperar el pasto desgastado por el ganado?,N,2,,58
P501A_18,COMO PRODUCTOR/A INDEPENDIENTE ¿UD. REALIZA LA PRÁCTICA PECUARIA DE: Clausura de praderas por un tiempo determinado con la finalidad de mejorar el suelo?,N,1,,58
P501AA_18,¿HACE CUÁNTOS AÑOS LA REALIZA? Clausura de praderas por un tiempo determinado con la finalidad de mejorar el suelo?,N,2,,58
P501A_19,COMO PRODUCTOR/A INDEPENDIENTE ¿UD. REALIZA LA PRÁCTICA PECUARIA DE: Rotación de corrales para aprovechar la materia orgánica que deja el ganado en el suelo?,N,1,,58
P501AA_19,¿HACE CUÁNTOS AÑOS LA REALIZA? Rotación de corrales para aprovechar la materia orgánica que deja el ganado en el suelo?,N,2,,58
P501A_20,COMO PRODUCTOR/A INDEPENDIENTE ¿UD. REALIZA LA PRÁCTICA PECUARIA DE: Sembrar dentro del pasto natural un cultivo forrajero o pasto cultivado?,N,1,,58
P501AA_20,¿HACE CUÁNTOS AÑOS LA REALIZA? Sembrar dentro del pasto natural un cultivo forrajero o pasto cultivado?,N,2,,58
P501A_21,COMO PRODUCTOR/A INDEPENDIENTE ¿UD. REALIZA LA PRÁCTICA PECUARIA DE: Resembrar pastos naturales manejados?,N,1,,58
P501AA_21,¿HACE CUÁNTOS AÑOS LA REALIZA? Resembrar pastos naturales manejados?,N,2,,58
P501A_22,COMO PRODUCTOR/A INDEPENDIENTE ¿UD. REALIZA LA PRÁCTICA PECUARIA DE: Instalar pastos para el ganado en medio de árboles y arbustos forestales?,N,1,,58
P501AA_22,¿HACE CUÁNTOS AÑOS LA REALIZA? Instalar pastos para el ganado en medio de árboles y arbustos forestales?,N,2,,58
P501A_23,COMO PRODUCTOR/A INDEPENDIENTE ¿UD. REALIZA LA PRÁCTICA PECUARIA DE: Usar fertilizantes o abonos en pastos (naturales y/o manejados)?,N,1,,58
P501AA_23,¿HACE CUÁNTOS AÑOS LA REALIZA? Usar fertilizantes o abonos en pastos (naturales y/o manejados)?,N,2,,58
P502B_1,"CUANDO APLICA UNA VACUNA Y/O MEDICAMENTO VETERINARIO, ¿QUIÉN SE LO RECOMIENDA? Asesor del establecimiento comercial autorizado",N,1,,58
P502B_2,"CUANDO APLICA UNA VACUNA Y/O MEDICAMENTO VETERINARIO, ¿QUIÉN SE LO RECOMIENDA? Médico veterinario",N,1,,58
P502B_3,"CUANDO APLICA UNA VACUNA Y/O MEDICAMENTO VETERINARIO, ¿QUIÉN SE LO RECOMIENDA? Ingeniero zootecnista",N,1,,58
P502B_4,"CUANDO APLICA UNA VACUNA Y/O MEDICAMENTO VETERINARIO, ¿QUIÉN SE LO RECOMIENDA? Personal de SENASA",N,1,,59
P502B_5,"CUANDO APLICA UNA VACUNA Y/O MEDICAMENTO VETERINARIO, ¿QUIÉN SE LO RECOMIENDA? 5. El mismo productor/a",N,1,,59
P502B_6,"CUANDO APLICA UNA VACUNA Y/O MEDICAMENTO VETERINARIO, ¿QUIÉN SE LO RECOMIENDA? Técnico agropecuario",N,1,,59
P502B_7,"CUANDO APLICA UNA VACUNA Y/O MEDICAMENTO VETERINARIO, ¿QUIÉN SE LO RECOMIENDA? Otro",N,1,,59
P503B_1,¿DE QUÉ LUGAR O PERSONA ADQUIERE LA VACUNA Y/O MEDICAMENTO VETERINARIO? Establecimiento comercial autorizado,N,1,,59
P503B_2,¿DE QUÉ LUGAR O PERSONA ADQUIERE LA VACUNA Y/O MEDICAMENTO VETERINARIO? Programa estatal,N,1,,59
P503B_3,¿DE QUÉ LUGAR O PERSONA ADQUIERE LA VACUNA Y/O MEDICAMENTO VETERINARIO? Vendedor ambulante,N,1,,59
P503B_4,¿DE QUÉ LUGAR O PERSONA ADQUIERE LA VACUNA Y/O MEDICAMENTO VETERINARIO? Organismo No Gubernamental (ONG),N,1,,59
P503B_5,¿DE QUÉ LUGAR O PERSONA ADQUIERE LA VACUNA Y/O MEDICAMENTO VETERINARIO? Feria informal / plaza pecuaria,N,1,,59
P503B_6,¿DE QUÉ LUGAR O PERSONA ADQUIERE LA VACUNA Y/O MEDICAMENTO VETERINARIO? Otro,N,1,,59
P504B,"GENERALMENTE, ¿QUIÉN APLICA LA VACUNA Y/O MEDICAMENTO VETERINARIO?",N,1,,59
P504BA,"UD./ EL/LA PRODUCTOR/A, ¿ESTÁ CAPACITADO/A PARA APLICAR LA VACUNA Y/O MEDICAMENTO VETERINARIO?",N,1,,59
P505B,¿ANTES DE APLICAR LA VACUNA Y/O MEDICAMENTO VETERINARIO UD. LEE LA ETIQUETA?,N,1,,59
P506B_1,CUANDO UD. LEE LA ETIQUETA DE LA VACUNA Y/O MEDICAMENTO VETERINARIO: ¿Verifica si tiene la información del registro de SENASA?,N,1,,59
P506B_2,CUANDO UD. LEE LA ETIQUETA DE LA VACUNA Y/O MEDICAMENTO VETERINARIO: ¿Revisa si está dentro de la fecha de vencimiento?,N,1,,59
P507B,"¿PARA LA APLICACIÓN DE LA VACUNA Y/O MEDICAMENTO VETERINARIO, SIGUE LAS INDICACIONES DE LA ETIQUETA?",N,1,,59
P508B_1A,"CUANDO UTILIZA LA VACUNA Y/O MEDICAMENTO VETERINARIO, ¿CUMPLE CON: 1A. Verificar la aplicación de la dosis recomendada para cada animal, indicada en la etiqueta?",N,1,,59
P508B_2,"CUANDO UTILIZA LA VACUNA Y/O MEDICAMENTO VETERINARIO, ¿CUMPLE CON: 2. Hacerlo durante todos los días indicados en la etiqueta?",N,1,,59
P508B_3,"CUANDO UTILIZA LA VACUNA Y/O MEDICAMENTO VETERINARIO, ¿CUMPLE CON: 3. Usar agujas y jeringas nuevas o desinfectadas en cada animal?",N,1,,59
P509B,¿RESPETA EL TIEMPO ENTRE LA ÚLTIMA APLICACIÓN DE LA VACUNA Y/O MEDICAMENTO Y EL BENEFICIO DEL ANIMAL?,N,1,,60
P510B_1,"CUANDO UTILIZA VACUNAS Y/O MEDICAMENTOS VETERINARIOS, CUMPLE LO SIGUIENTE: 1. ¿Después de la aplicación de vacunas y/o medicamentos suspende el consumo de la leche, carne o huevos, durante el periodo indicado (periodo de retiro)?",N,1,,60
P510B_2,"CUANDO UTILIZA VACUNAS Y/O MEDICAMENTOS VETERINARIOS, CUMPLE LO SIGUIENTE: 2. ¿Informa al comprador cuando le vende carne, leche, huevo o el animal vivo, sobre la fecha del último tratamiento aplicado?",N,1,,60
P510B_3_1,"CUANDO UTILIZA VACUNAS Y/O MEDICAMENTOS VETERINARIOS, CUMPLE LO SIGUIENTE: 3. ¿Lleva registro del tratamiento de los animales?",N,1,,60
P510B_3_2,"CUANDO UTILIZA VACUNAS Y/O MEDICAMENTOS VETERINARIOS, CUMPLE LO SIGUIENTE: 3. ¿Lleva registro de los animales muertos?",N,1,,60
P511B,¿GUARDA LAS VACUNAS Y/O MEDICAMENTOS VETERINARIOS EN UN LUGAR SEGURO FUERA DEL ALCANCE DE LAS PERSONAS Y ALEJADO DE LOS ALIMENTOS?,N,1,,60
P512B_1,"CUANDO GUARDA, TRANSPORTA O APLICA LA VACUNA, ¿CUMPLE CON: Mantener refrigerada la vacuna durante el transporte?",N,1,,60
P512B_2,"CUANDO GUARDA, TRANSPORTA O APLICA LA VACUNA, ¿CUMPLE CON: Guardar la vacuna a la temperatura indicada en la etiqueta?",N,1,,60
P512B_3,"CUANDO GUARDA, TRANSPORTA O APLICA LA VACUNA, ¿CUMPLE CON: Conservar la vacuna a la temperatura indicada en la etiqueta mientras la aplica a sus animales?",N,1,,60
OMICAP500,OMISIÓN DE BUENAS PRÁCTICAS PECUARIAS,AN,2,,60
P601_1,¿QUÉ HACE CON LOS RESIDUOS DE SUS CULTIVOS? 1. Quema / incinera,N,1,,61
P601_2,¿QUÉ HACE CON LOS RESIDUOS DE SUS CULTIVOS? 2. Usa como alimento para animales de crianza,N,1,,61
P601_3,¿QUÉ HACE CON LOS RESIDUOS DE SUS CULTIVOS? 3. Bota,N,1,,61
P601_4,¿QUÉ HACE CON LOS RESIDUOS DE SUS CULTIVOS? 4. Usa como abono,N,1,,61
P601_5,¿QUÉ HACE CON LOS RESIDUOS DE SUS CULTIVOS? 5. Deja en el campo,N,1,,61
P601_6,¿QUÉ HACE CON LOS RESIDUOS DE SUS CULTIVOS? 6. Otro,N,1,,61
P601_7,¿QUÉ HACE CON LOS RESIDUOS DE SUS CULTIVOS? 7. NO ES PRODUCTOR/A AGRÍCOLA,N,1,,61
P602_1,¿QUÉ HACE CON LOS RESIDUOS DE SUS ANIMALES DE CRIANZA? 1. Quema / incinera,N,1,,61
P602_2,¿QUÉ HACE CON LOS RESIDUOS DE SUS ANIMALES DE CRIANZA? 2. Entierra,N,1,,62
P602_3,¿QUÉ HACE CON LOS RESIDUOS DE SUS ANIMALES DE CRIANZA? 3. Bota,N,1,,62
P602_4,¿QUÉ HACE CON LOS RESIDUOS DE SUS ANIMALES DE CRIANZA? 4. Usa como abono,N,1,,62
P602_5,¿QUÉ HACE CON LOS RESIDUOS DE SUS ANIMALES DE CRIANZA? 5. Usa como combustible,N,1,,62
P602_6,¿QUÉ HACE CON LOS RESIDUOS DE SUS ANIMALES DE CRIANZA? 6. Deja en el campo,N,1,,62
P602_7,¿QUÉ HACE CON LOS RESIDUOS DE SUS ANIMALES DE CRIANZA? 7.Otro,N,1,,62
P602_8,¿QUÉ HACE CON LOS RESIDUOS DE SUS ANIMALES DE CRIANZA? 8. ES SOLO PRODUCTOR/A APÍCOLA,N,1,,62
P602_9,¿QUÉ HACE CON LOS RESIDUOS DE SUS ANIMALES DE CRIANZA? 9. NO ES PRODUCTOR/A PECUARIO/A,N,1,,62
P603,¿EXISTEN MINAS EN EXPLOTACIÓN CERCA A SUS CULTIVOS Y/O ANIMALES DE CRIANZA?,N,1,,62
P604,¿ALGUNA ENTIDAD DEL ESTADO LE HA INFORMADO SOBRE LA CONTAMINACIÓN DE LOS ALIMENTOS?,N,1,,62
P605_1,¿QUÉ ENTIDAD DEL ESTADO LE INFORMÓ? 1. Servicio Nacional de Sanidad Agraria (SENASA),N,1,,62
P605_2,¿QUÉ ENTIDAD DEL ESTADO LE INFORMÓ? 2. Ministerio de Salud,N,1,,62
P605_3,¿QUÉ ENTIDAD DEL ESTADO LE INFORMÓ? 3. Ministerio de Desarrollo Agrario y Riego,N,1,,62
P605_4,¿QUÉ ENTIDAD DEL ESTADO LE INFORMÓ? 4. Gobierno Regional,N,1,,62
P605_5,¿QUÉ ENTIDAD DEL ESTADO LE INFORMÓ? 5. Gobierno Local/Municipal,N,1,,62
P605_6,¿QUÉ ENTIDAD DEL ESTADO LE INFORMÓ? 6. Otro,N,1,,62
P605A,¿SABE UD. SOBRE LOS LÍMITES MÁXIMOS PERMISIBLES DE CONTAMINANTES EN LOS ALIMENTOS DE CONSUMO HUMANO Y/O ANIMAL?,N,1,,62
P606_1,"¿EN QUÉ LUGAR ALMACENA, CONSERVA O GUARDA LOS ALIMENTOS QUE PRODUCE (Solo productos primarios)? 1. En un lugar refrigerado",N,1,,62
P606_2,"¿EN QUÉ LUGAR ALMACENA, CONSERVA O GUARDA LOS ALIMENTOS QUE PRODUCE (Solo productos primarios)? 2. A la intemperie",N,1,,62
P606_3,"¿EN QUÉ LUGAR ALMACENA, CONSERVA O GUARDA LOS ALIMENTOS QUE PRODUCE (Solo productos primarios)? 3. En cuarto seguro y ventilado",N,1,,62
P606_4,"¿EN QUÉ LUGAR ALMACENA, CONSERVA O GUARDA LOS ALIMENTOS QUE PRODUCE (Solo productos primarios)? 4. En cuarto no adecuado",N,1,,62
P606_5,"¿EN QUÉ LUGAR ALMACENA, CONSERVA O GUARDA LOS ALIMENTOS QUE PRODUCE (Solo productos primarios)? 5. Otro",N,1,,62
P606_6,"¿EN QUÉ LUGAR ALMACENA, CONSERVA O GUARDA LOS ALIMENTOS QUE PRODUCE (Solo productos primarios)? 6. VENTA INMEDIATA",N,1,,62
P606_7,"¿EN QUÉ LUGAR ALMACENA, CONSERVA O GUARDA LOS ALIMENTOS QUE PRODUCE (Solo productos primarios)? 7. NO PRODUCE ALIMENTOS DE CONSUMO HUMANO",N,1,,62
P607,"¿SABE UD. QUE LOS ALIMENTOS DE CONSUMO HUMANO QUE PRODUCE, DEBEN ESTAR IDENTIFICADOS PARA SER CONSUMIDOS (Solo productos primarios)?",N,1,,63
P608,"SUS PRODUCTOS AGROPECUARIOS, ¿CUENTAN CON ALGÚN TIPO DE CERTIFICACIÓN DE CALIDAD OTORGADA POR UNA INSTITUCIÓN?",N,1,,63
P609,LA CERTIFICACIÓN DE CALIDAD FUE OTORGADA COMO:,N,1,,63
P610_1,¿CUÁL ES EL NOMBRE DE LA CERTIFICACIÓN? 1. Buenas prácticas agrícolas (Global Gap),N,1,,63
P610_2,¿CUÁL ES EL NOMBRE DE LA CERTIFICACIÓN? 2. Comercio justo (Fair trade),N,1,,63
