ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,NSEGM,ID_PROD,UA,RESFIN,REGION,ESTRATO,FACTOR_PRODUCTOR,CODIGO,P101A,P142_1,P142_2,P142_3,P105,P147,P147_SUP_1,P147_SUP_2,P147_EQUIV_1,P147_EQUIV_2,P147_SUP_ha,P107,P148_DIA,P148_MES,P148_ANIO,P111_1,P111_2,P111_3,P111_4,P111_5,P112,P113_SUP_1,P113_SUP_2,P202,P224A,P224G_1,P224G_2,P224G_3,P224G_4,P224G_5,P224G_6,P224G_8,P224G_9,P224G_7,OMICAP100B_02
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10009,01,01,1,3,250393003,8.829394,1,,1,1,0,1,1,12,000,12,0000,12,FUNDO SUCAPUCA,,,,1,0,0,0,0,4,, ,1,2,,,,,,,,,,
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10009,02,02,1,3,250393003,.7341211,1,,1,1,0,1,1,3,500,3,5000,3.5,FUNDO JESUSA,,,,1,0,0,0,0,4,, ,1,2,,,,,,,,,,
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10010,01,01,1,3,250393002,1.305981,1,,1,1,0,1,1,8,500,8,5000,8.5,FUNDO PAULINO,,,,0,0,0,1,0,,, ,1,2,,,,,,,,,,
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10011,01,01,1,3,250391005,3.896025,1,,1,1,0,1,1,5,500,5,5000,5.5,FUNDO ANCELMO,,,,1,0,0,0,0,4,, ,1,2,,,,,,,,,,
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10011,02,02,1,3,250391005,2.128094,1,,1,1,0,1,1,22,000,22,0000,22,FUNDO GALINDO,,,,1,0,0,0,0,1,22,000,1,2,,,,,,,,,,
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10011,03,03,1,3,250391005,8.33548,1,,1,1,0,1,1,7,000,7,0000,7,FUNDO LOS ANGELES,,,,1,0,0,0,0,3,, ,1,2,,,,,,,,,,
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10011,03,03,1,3,250391005,8.33548,1,,1,1,0,2,2,70,000,70,0000,70,FUNDO LOS ANGELES 2,,,,1,0,0,0,0,1,70,000,1,2,,,,,,,,,,
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10011,04,04,1,3,250391005,21.88851,1,,1,1,0,1,1,14,000,14,0000,14,FUNDO OBLITER,,,,1,0,0,0,0,1,14,000,1,2,,,,,,,,,,
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10011,05,05,1,3,250391005,1.99235,1,,1,1,0,1,1,26,000,26,0000,26,FUNDO RAFAEL,,,,1,0,0,0,0,4,, ,1,2,,,,,,,,,,
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10011,06,06,1,3,250391005,5.38409,1,,1,1,0,1,1,17,000,17,0000,17,FUNDO PAULINA,,,,1,0,0,0,0,3,, ,1,2,,,,,,,,,,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10012,01,01,1,3,250392005,56.02063,1,,1,1,0,2,2,13,500,13,5000,13.5,FUNDO LA SOÑADORA,,,,1,0,0,0,0,4,, ,1,2,,,,,,,,,,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10012,01,01,1,3,250392005,56.02063,1,,1,1,0,3,3,12,000,12,0000,12,FUNDO LA SOÑADORA,,,,1,0,0,0,0,3,, ,2,2,0,0,1,0,0,0,0,0,0,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10012,01,01,1,3,250392005,56.02063,1,,1,1,0,1,1,20,000,20,0000,20,FUNDO LA SOÑADORA,,,,1,0,0,0,0,4,, ,1,2,,,,,,,,,,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10012,02,02,1,3,250392005,32.14376,1,,1,1,0,1,1,30,000,30,0000,30,FUNDO ESTHER,,,,1,0,0,0,0,3,, ,1,2,,,,,,,,,,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10012,03,03,1,3,250392005,44.17159,1,,1,0,0,1,1,45,000,45,0000,45,FUNDO DIOGENES,,,,1,0,0,0,0,3,, ,1,2,,,,,,,,,,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10013,01,01,1,3,250391005,6.453477,1,,1,0,0,1,1,29,000,29,0000,29,FUNDO CAMPOS,,,,1,0,0,0,0,4,, ,1,2,,,,,,,,,,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10013,02,02,1,3,250391005,47.80722,1,,1,0,0,1,1,32,000,32,0000,32,FUNDO ALBERCA,,,,1,0,0,0,0,4,, ,1,2,,,,,,,,,,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10013,03,03,1,3,250391005,15.42459,1,,1,0,0,1,1,18,000,18,0000,18,FUNDO ROQUE,,,,1,0,0,0,0,4,, ,1,2,,,,,,,,,,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10013,04,04,1,3,250391005,15.7369,1,,1,0,0,1,1,7,500,7,5000,7.5,FUNDO HERNANDEZ,,,,1,0,0,0,0,4,, ,1,2,,,,,,,,,,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10013,05,05,1,3,250391005,9.21442,1,,1,1,0,2,2,5,000,5,0000,5,FUNDO POLIDORO,,,,1,0,0,0,0,4,, ,1,2,,,,,,,,,,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10013,05,05,1,3,250391005,9.21442,1,,1,1,0,1,1,21,500,21,5000,21.5,FUNDO POLIDORO,,,,1,0,0,0,0,4,, ,1,2,,,,,,,,,,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10013,06,06,1,3,250391005,8.385832,1,,1,0,0,1,1,6,500,6,5000,6.5,FUNDO IMELDA,,,,1,0,0,0,0,4,, ,1,2,,,,,,,,,,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10014,01,01,1,3,250391005,19.92978,1,,1,0,0,1,1,55,000,55,0000,55,FUNDO MACHACA,,,,1,0,0,0,0,3,, ,1,2,,,,,,,,,,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10014,02,02,1,3,250391005,4.435269,1,,1,1,0,1,1,42,000,42,0000,42,FUNDO DAVID,,,,1,0,0,0,0,1,42,000,1,2,,,,,,,,,,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10014,03,03,1,3,250391005,13.63667,1,,1,1,0,2,2,31,000,31,0000,31,FUNDO EMY II,,,,1,0,0,1,0,1,24,000,1,2,,,,,,,,,,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10014,03,03,1,3,250391005,13.63667,1,,1,1,0,1,1,39,000,39,0000,39,FUNDO EMY,,,,1,0,0,0,0,1,39,000,1,2,,,,,,,,,,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10014,04,04,1,3,250391005,62.26325,1,,1,0,0,1,1,83,000,83,0000,83,FUNDO JULIA,,,,1,0,0,0,0,3,, ,1,2,,,,,,,,,,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10014,05,05,1,3,250391005,.1445945,1,,1,0,0,1,1,19,000,19,0000,19,FUNDO TOBIAS,,,,1,0,0,0,0,1,19,000,1,2,,,,,,,,,,
