ANIO,NSEGM,ID_PROD,UA,RESFIN,REGION,FACTOR_PRODUCTOR,CODIGO,P101A,P142_1,P142_2,P404AA_1,P404AA_2,P404AA_3,P404AA_4,P404AA_5,P404AA_6,P410AA,P410AB1,P410AB2,P410AC_CANT_1,P410AC_CANT_2,P410AD,P410AD1,P410AD2,P410AD3,P410AE,OMICAP400_02
2024,95265,01,01,1,2,1,2,1,1,1,0,0,0,1,0,0,4,1,0,0,050,800,2,1,1,4, 
2024,95265,01,01,1,2,1,2,1,1,1,1,0,0,0,0,0,1,2,0,0,050,20,2,1,1,4, 
2024,95270,01,01,1,2,1,2,1,1,1,0,0,0,1,0,0,4,1,0,0,018,500,2,1,2,1, 
2024,95271,01,01,1,2,1,2,1,1,1,0,0,0,1,0,0,4,1,0,0,010,500,2,1,2,1, 
2024,95272,01,01,1,2,1,2,1,1,1,0,0,0,1,0,0,4,1,0,0,030,800,2,2,,6, 
2024,95273,01,01,1,2,1,2,1,1,1,0,0,0,1,0,0,4,2,0,0,030,1000,2,1,2,6, 
2024,95274,01,01,1,2,1,2,1,1,1,0,0,0,1,0,0,4,3,0,0,040,1400,2,1,2,1, 
2024,95275,01,01,1,2,1,2,1,1,1,0,0,0,1,0,0,4,1,0,0,015,800,2,1,2,4, 
2024,95276,01,01,1,2,1,2,1,1,1,0,0,0,1,0,0,4,1,0,0,010,600,2,1,2,1, 
2024,95277,01,01,1,2,1,2,1,1,1,0,0,0,1,0,0,4,2,1,0,035,2000,2,1,2,1, 
2024,95279,01,01,1,2,1,2,1,1,1,0,0,0,1,0,0,4,4,3,0,160,5000,2,1,1,4, 
2024,95280,01,01,1,2,1,2,1,1,1,0,0,0,1,0,0,4,2,0,0,016,800,2,1,1,4, 
2024,95281,01,01,1,2,1,2,1,1,1,0,0,0,1,0,0,4,1,0,0,006,200,2,1,2,4, 
2024,95283,01,01,1,2,1,2,1,1,1,0,0,0,1,0,0,4,2,0,0,116,5000,2,1,1,4, 
2024,95284,01,01,1,2,1,2,1,1,1,0,0,0,1,0,0,4,1,1,0,010,500,2,1,2,4, 
