"anio","ccdd","ccpp","ccdi","psu","id_prod","ua","te"
2024,25,3,3,10044,9,9,0.551843933514633
2024,25,3,3,10045,1,1,0.769525926016269
2024,25,3,3,10045,2,2,0.658350149614066
2024,25,3,2,10046,1,1,0.522877917347707
2024,25,3,2,10046,2,2,0.703416673503453
2024,25,3,2,10046,3,3,0.214776193243145
2024,25,3,2,10046,4,4,0.663870321208809
2024,25,3,2,10046,5,5,0.682487320821537
2024,25,3,2,10047,2,2,0.684900253544569
2024,25,3,2,10047,4,4,0.403788077269761
2024,25,3,2,10047,5,5,0.67769286673119
2024,25,3,2,10047,6,6,0.65021802342909
2024,25,3,2,10047,7,7,0.673358198426071
2024,25,3,2,10048,1,1,0.698053841344348
2024,25,3,2,10048,3,3,0.749148202583428
2024,25,3,2,10048,4,4,0.802206115563606
2024,25,3,2,10048,6,6,0.438852665968471
2024,25,3,2,10049,3,3,0.778221966399147
2024,25,3,2,10049,4,4,0.789594246599431
2024,25,3,2,10049,5,5,0.757047349472332
2024,25,3,2,10050,1,1,0.675797734816706
2024,25,3,2,10050,2,2,0.678001895218037
2024,25,3,2,10050,3,3,0.67524079532845
2024,25,3,2,10050,4,4,0.652160550155277
2024,25,3,2,10051,1,1,0.797906000275843
2024,25,3,2,10051,3,3,0.742921560084178
2024,25,3,2,10051,6,6,0.723248346095875
2024,25,3,2,10052,1,1,0.660857512558375
2024,25,3,2,10052,2,2,0.785931275343323
2024,25,3,2,10052,3,3,0.742145001028463
2024,25,3,2,10052,4,4,0.701909207135533
2024,25,3,2,10052,5,5,0.673169982629797
2024,25,3,2,10052,6,6,0.705630914943311
2024,25,3,2,10053,1,1,0.667858298746166
2024,25,3,2,10053,2,2,0.67524079532845
2024,25,3,2,10053,3,3,0.651386010493635
2024,25,3,2,10053,4,4,0.313959757657339
2024,25,3,2,10054,1,1,0.666916576385099
2024,25,3,2,10054,3,3,0.700190460431727
2024,25,3,2,10054,4,4,0.642161139971556
2024,25,3,2,10054,5,5,0.684884107540689
2024,25,3,2,10054,6,6,0.722148873498243
2024,25,3,2,10054,9,9,0.635546758592453
2024,25,3,2,10055,1,1,0.695162978317236
2024,25,3,2,10055,2,2,0.749004138391914
2024,25,3,2,10055,4,4,0.794018630975712
2024,25,3,2,10055,5,5,0.662039404020116
2024,25,3,2,10055,6,6,0.681161355091463
2024,25,3,2,10055,7,7,0.803379715310197
2024,25,3,2,10056,2,2,0.634327515687867
2024,25,3,2,10057,1,1,0.665065232089256
2024,25,3,2,10057,2,2,0.686255209454862
2024,25,3,2,10057,3,3,0.735553858296789
2024,25,3,2,10057,4,4,0.675414761216546
2024,25,3,2,10057,5,5,0.6751212532968
2024,25,3,2,10057,6,6,0.661914108368357
2024,25,3,2,10058,1,1,0.616790994317705
2024,25,3,2,10058,2,2,0.225733306454442
2024,25,3,2,10059,1,1,0.556543301926495
2024,25,3,2,10059,2,2,0.708836476455375
2024,25,3,2,10060,1,1,0.748680169675982
2024,25,3,2,10060,2,2,0.698996844253361
2024,25,3,2,10060,3,3,0.777944643445561
2024,25,3,2,10060,4,4,0.771955566609846
2024,25,3,2,10060,5,5,0.797487429936729
2024,25,3,2,10060,6,6,0.796773857682535
2024,25,3,2,10061,1,1,0.596339227233884
2024,25,3,2,10061,2,2,0.628348968367099
2024,25,3,2,10061,3,3,0.646245848720768
2024,25,3,2,10062,1,1,0.41084751330511
2024,25,3,2,10062,2,2,0.533390657869059
2024,25,3,2,10062,4,4,0.653814652076489
2024,25,3,2,10062,5,5,0.635961911222275
2024,25,3,2,10062,6,6,0.124800954419283
2024,25,3,2,10062,9,9,0.624953071863699
2024,25,3,2,10062,10,10,0.597589975668635
2024,25,3,2,10063,1,1,0.767864246547598
2024,25,3,2,10063,2,2,0.764030379092141
2024,25,3,2,10063,3,3,0.696271677083812
2024,25,3,2,10063,4,4,0.745646399799981
2024,25,3,2,10064,1,1,0.608510356987306
2024,25,3,2,10064,2,2,0.66960269865814
2024,25,3,2,10065,5,5,0.704088317426044
2024,25,3,2,10065,6,6,0.657829498767526
2024,25,3,2,10065,11,11,0.682862794336034
2024,25,3,2,10066,1,1,0.623020029990805
2024,25,3,2,10066,2,2,0.769486141734361
2024,25,3,2,10066,3,3,0.685730033404221
2024,25,3,2,10067,1,1,0.565556717363552
2024,25,3,2,10067,2,2,0.722206057599628
2024,25,3,2,10067,4,4,0.542238089946041
2024,25,3,2,10067,5,5,0.637475158757637
2024,25,3,2,10067,6,6,0.14625065099451
2024,25,3,2,10067,7,7,0.536500291990649
2024,25,3,2,10068,1,1,0.759420767434475
2024,25,3,2,10068,2,2,0.750653360301899
2024,25,3,2,10068,4,4,0.746965686369601
2024,25,3,1,10069,1,1,0.73763633217795
2024,25,3,1,10069,3,3,0.748157028134473
2024,25,3,1,10069,4,4,0.619362189320842
2024,25,3,1,10069,5,5,0.583733589273395
2024,25,3,1,10070,1,1,0.67115460587388
2024,25,3,1,10070,2,2,0.783379088739394
2024,25,3,1,10070,4,4,0.650220332310552
