anio,ccdd,ccpp,ccdi,psu,id_prod,ua,region_natural,estrato,weight,departamento,provincia,distrito,latitud,longitud,hhi_area,diversificacion_area,shannon_area,num_crops_area,area_total_ha,hhi_valor,diversificacion_valor,shannon_valor,num_crops_valor,valor_total,jornaleros_perm_h,jornaleros_perm_m,jornaleros_event_h,jornaleros_event_m,gasto_agricola_total,costo_total_agropecuario,gasto_abono,gasto_fertilizantes,gasto_plaguicidas,practice_any,num_practices,labor_total,input_costs,size_cat
2024,25.0,3.0,4.0,10013,4,4,3,250391005.0,15.7369,UCAYALI,PADRE ABAD,NESHUYA,-8.65245320196,-75.1278056408,0.8347107438016528,0.16528925619834722,0.30463609734923813,2.0,2.2,0.8932004271982912,0.10679957280170882,0.217518571336808,2.0,25440.0,,,2.0,,4140.0,4140.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,mediano_2_5ha
2024,25.0,3.0,4.0,10013,5,5,3,250391005.0,9.21442,UCAYALI,PADRE ABAD,NESHUYA,-8.65245320196,-75.1278056408,0.44431982054157987,0.5556801794584201,1.0307880969073107,4.0,19.75,0.6538628472222222,0.3461371527777778,0.5671997124438456,2.0,92160.0,,,5.0,3.0,14520.0,18780.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,grande_>5ha
2024,25.0,3.0,4.0,10013,6,6,3,250391005.0,8.385832,UCAYALI,PADRE ABAD,NESHUYA,-8.65245320196,-75.1278056408,0.625,0.375,0.5623351446188083,2.0,4.0,0.764632800470523,0.23536719952947704,0.3980913714696055,2.0,38900.0,,,4.0,,5820.0,5820.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,mediano_2_5ha
2024,25.0,3.0,4.0,10014,1,1,3,250391005.0,19.92978,UCAYALI,PADRE ABAD,NESHUYA,-8.54392722995,-75.0550739516,1.0,0.0,-0.0,1.0,20.0,1.0,0.0,-0.0,1.0,100800.0,,,5.0,6.0,10700.0,10700.0,0.0,5680.0,0.0,1.0,1.0,11.0,5680.0,grande_>5ha
2024,25.0,3.0,4.0,10014,2,2,3,250391005.0,4.435269,UCAYALI,PADRE ABAD,NESHUYA,-8.54392722995,-75.0550739516,1.0,0.0,-0.0,1.0,20.0,1.0,0.0,-0.0,1.0,99680.0,,,9.0,3.0,10090.0,10295.0,0.0,3850.0,0.0,1.0,1.0,12.0,3850.0,grande_>5ha
2024,25.0,3.0,4.0,10014,3,3,3,250391005.0,13.63667,UCAYALI,PADRE ABAD,NESHUYA,-8.54392722995,-75.0550739516,0.526912,0.47308799999999995,0.6659884092518018,1.0,62.5,0.5132504056246621,0.48674959437533794,0.6798376211857489,1.0,433440.0,,,5.0,5.0,12285.0,12675.0,0.0,12720.0,0.0,1.0,1.0,10.0,12720.0,grande_>5ha
2024,25.0,3.0,4.0,10014,4,4,3,250391005.0,62.26325,UCAYALI,PADRE ABAD,NESHUYA,-8.54392722995,-75.0550739516,1.0,0.0,-0.0,1.0,35.0,1.0,0.0,-0.0,1.0,264600.0,,,10.0,,7780.0,7780.0,6000.0,3600.0,0.0,1.0,2.0,10.0,9600.0,grande_>5ha
2024,25.0,3.0,4.0,10014,5,5,3,250391005.0,0.1445945,UCAYALI,PADRE ABAD,NESHUYA,-8.54392722995,-75.0550739516,1.0,0.0,-0.0,1.0,10.0,1.0,0.0,-0.0,1.0,75758.0,,,13.0,2.0,7830.0,7830.0,0.0,1600.0,0.0,1.0,1.0,15.0,1600.0,grande_>5ha
2024,25.0,3.0,4.0,10015,1,1,3,250393005.0,58.22547,UCAYALI,PADRE ABAD,NESHUYA,-8.78271090635,-75.1060275642,0.601317987239985,0.398682012760015,0.588095545482467,2.0,8.275,1.0,0.0,-0.0,1.0,12000.0,,,5.0,,5700.0,7580.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,grande_>5ha
2024,25.0,3.0,4.0,10015,2,2,3,250393005.0,91.52573,UCAYALI,PADRE ABAD,NESHUYA,-8.78271090635,-75.1060275642,0.41454840454299624,0.5854515954570038,1.0751709944429246,3.0,8.6,0.5694163231416877,0.43058367685831234,0.8453655529512707,3.0,43450.0,,,4.0,,7070.0,7070.0,0.0,680.0,160.0,1.0,2.0,4.0,840.0,grande_>5ha
2024,25.0,3.0,4.0,10015,3,3,3,250393005.0,80.92716,UCAYALI,PADRE ABAD,NESHUYA,-8.78271090635,-75.1060275642,1.0,0.0,-0.0,1.0,3.7,1.0,0.0,-0.0,1.0,18750.0,,,5.0,,7760.0,7760.0,0.0,2500.0,350.0,1.0,2.0,5.0,2850.0,mediano_2_5ha
2024,25.0,3.0,4.0,10016,1,1,3,250391005.0,46.84928,UCAYALI,PADRE ABAD,NESHUYA,-8.71034932679,-75.1060070989,0.5918367346938775,0.40816326530612246,0.5982695885852573,2.0,14.0,1.0,0.0,-0.0,1.0,46725.0,,,7.0,1.0,4160.0,6113.0,440.0,0.0,0.0,1.0,1.0,8.0,440.0,grande_>5ha
2024,25.0,3.0,4.0,10016,2,2,3,250391005.0,14.50153,UCAYALI,PADRE ABAD,NESHUYA,-8.71034932679,-75.1060070989,1.0,0.0,-0.0,1.0,5.0,1.0,0.0,-0.0,1.0,91000.0,,,8.0,,9228.0,9228.0,0.0,4800.0,0.0,1.0,1.0,8.0,4800.0,mediano_2_5ha
2024,25.0,3.0,4.0,10016,3,3,3,250391005.0,19.81655,UCAYALI,PADRE ABAD,NESHUYA,-8.71034932679,-75.1060070989,1.0,0.0,-0.0,1.0,1.5,1.0,0.0,-0.0,1.0,29400.0,,,3.0,,3025.0,3025.0,0.0,1800.0,0.0,1.0,1.0,3.0,1800.0,pequeno_<2ha
2024,25.0,3.0,4.0,10016,4,4,3,250391005.0,3.746287,UCAYALI,PADRE ABAD,NESHUYA,-8.71034932679,-75.1060070989,0.7396449704142012,0.2603550295857988,0.4293230219306162,2.0,13.0,1.0,0.0,-0.0,1.0,22500.0,,,5.0,,3850.0,7170.0,0.0,800.0,0.0,1.0,1.0,5.0,800.0,grande_>5ha
2024,25.0,3.0,4.0,10017,1,1,3,250391005.0,2.545616,UCAYALI,PADRE ABAD,NESHUYA,-8.59458400148,-74.9751056993,0.5136000000000001,0.48639999999999994,0.7789977492971932,3.0,3.125,0.5753831386074788,0.4246168613925212,0.6157454113321608,2.0,23050.0,,,,,280.0,830.0,0.0,0.0,70.0,1.0,1.0,0.0,70.0,mediano_2_5ha
2024,25.0,3.0,4.0,10017,2,2,3,250391005.0,14.24374,UCAYALI,PADRE ABAD,NESHUYA,-8.59458400148,-74.9751056993,0.6693121693121694,0.3306878306878306,0.542719095677556,1.0,25.2,0.666699343201647,0.33330065679835297,0.5509940193661074,1.0,129280.0,,,8.0,5.0,19370.0,19370.0,16000.0,18000.0,0.0,1.0,2.0,13.0,34000.0,grande_>5ha
2024,25.0,3.0,4.0,10017,3,3,3,250391005.0,0.1122787,UCAYALI,PADRE ABAD,NESHUYA,-8.59458400148,-74.9751056993,0.821443064686308,0.178556935313692,0.3230989706853863,1.0,22.2,0.8660856626634075,0.13391433733659253,0.2592033354816194,1.0,124160.0,,,4.0,2.0,14360.0,14360.0,0.0,18000.0,3500.0,1.0,2.0,6.0,21500.0,grande_>5ha
2024,25.0,3.0,4.0,10017,4,4,3,250391005.0,0.2267063,UCAYALI,PADRE ABAD,NESHUYA,-8.59458400148,-74.9751056993,0.8538674729150919,0.1461325270849081,0.27721592998101174,2.0,6.3,0.6371882086167799,0.36281179138322006,0.5488743844849944,2.0,40320.0,,,3.0,1.0,6560.0,7110.0,0.0,0.0,460.0,1.0,1.0,4.0,460.0,grande_>5ha
2024,25.0,3.0,4.0,10017,6,6,3,250391005.0,34.49646,UCAYALI,PADRE ABAD,NESHUYA,-8.59458400148,-74.9751056993,1.0,0.0,-0.0,1.0,27.0,1.0,0.0,-0.0,1.0,138240.0,1.0,,6.0,2.0,41140.0,41140.0,0.0,18000.0,3200.0,1.0,2.0,9.0,21200.0,grande_>5ha
